filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch0.fast5	b421545d-711d-44b0-af4e-b22e50b3fe3f	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	308	1	74499.044157	6.549137	1972	TRUE	74499.176959	1932	6.416335	255	7.685387	0.000000	104.090202	10.168921	104.090202	10.168921
batch0.fast5	b4a4485f-cc10-4ea5-a7fd-575126e12a14	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	10	1	74589.315073	7.152722	2154	TRUE	74590.268924	1867	6.198871	453	7.691957	0.000000	115.247765	16.665731	115.247765	16.665731
batch0.fast5	b59f9c70-6072-4da2-b795-f5c291f60a7b	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	170	1	74481.294489	9.342297	2813	TRUE	74483.350598	2194	7.286189	406	8.396614	0.000000	108.750954	13.982265	108.750954	13.982265
batch0.fast5	b6936a25-c050-4ce8-a163-c73269eeb63c	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	123	4	74592.090305	4.569389	1376	TRUE	74593.285193	1016	3.374502	213	8.140510	0.000000	122.168282	15.677086	122.168282	15.677086
batch0.fast5	b7764d08-11e4-48a6-8095-68944c5d2a6f	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	301	1	74468.484728	17.028220	5128	TRUE	74468.677955	5070	16.834993	899	7.943031	0.000000	107.056137	13.276091	107.056137	13.276091
batch0.fast5	bbc68a70-e940-44af-9632-982ce3a1f1de	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	325	2	30334.555777	18.409695	5545	TRUE	30334.689243	5504	18.276228	1282	7.321501	0.000000	100.983032	12.569916	100.983032	12.569916
batch0.fast5	bbd4fbd9-e905-46aa-b04c-ca32e9a8b8e0	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	491	2	30287.187583	21.581673	6500	TRUE	30287.332005	6456	21.437251	1363	7.915723	0.000000	106.773666	14.264736	106.773666	14.264736
batch0.fast5	bd814ee7-548d-4649-9a0e-c9c4babd096d	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	80	4	74504.437915	11.366534	3423	TRUE	74505.363546	3144	10.440903	799	7.805387	0.000000	112.423065	15.959556	112.423065	15.959556
batch0.fast5	be824cf2-be5e-4886-9393-0785e5fe2772	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	356	4	30319.900066	12.014940	3618	TRUE	30320.059429	3570	11.855578	508	7.717022	0.000000	97.310921	11.016331	97.310921	11.016331
batch0.fast5	bf22003d-f046-4a1b-b036-4d389e1c1ed8	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	172	4	30257.710823	17.001992	5121	TRUE	30257.843625	5081	16.869190	860	8.049808	0.000000	103.666496	12.569916	103.666496	12.569916
